整体主义	他们争辩说，正如所有“生物”科学，即涉及生命体的科学一样，社会学的研究不应采用原子主义的方式，而应采用现在称之为“整体主义的”方式<br>— 波普尔 · 《历史决定论的贫困》	波普尔 历史决定论的贫困 概念
卡理斯玛权威	简言之，卡理斯玛权威、官僚权力与民众三者间的紧张在这<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p91	周雪光 中国国家治理的制度逻 概念
共谋行为	特别是指基层上下级政府针对其更上一级政府的共谋行为<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p210	周雪光 中国国家治理的制度逻 概念
共谋现象	的共谋现象是指管理方与代理方“共谋”应对委托方的博弈过程<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p210	周雪光 中国国家治理的制度逻 概念
垂直管理	潮”，即银行、国税、海关变成中央垂直管理，质检、国土、工商变<br>— 周黎安 · 《转型中的地方政府》 · p49	周黎安 转型中的地方政府 概念
放水养鱼	所谓的“放水养鱼”，是指地方政府通过各种途径向企业“注”水，以行政或者半行政手段动员地方资源来扩大企业生产规模，而不是建立真正①张闰龙（2仪施），“财政分权与省以下政府闭关系的演变”，《社会学研究〉第5 期<br>— 周飞舟 · 《以利为利》	周飞舟 以利为利 概念
放水养鱼	这种做法也被称为“放水养鱼”，“藏富于<br>— 周黎安 · 《转型中的地方政府》 · p187	周黎安 转型中的地方政府 概念
资本置换	了所谓的“资本置换”的新概念，被认为开创了中国经济欠发达地区<br>— 周黎安 · 《转型中的地方政府》 · p257	周黎安 转型中的地方政府 概念
软预算约束	国有企业软预算约束现象的另一个制度性根源，即地方官员的政治竞<br>— 周黎安 · 《转型中的地方政府》 · p291	周黎安 转型中的地方政府 概念
软预算约束	虽然地方政府的行为变得“公司化”，但是这种行为并不像市场中的公司那样存在预算约束，即使有约束的话，也是“软预算约束”<br>— 周飞舟 · 《以利为利》	周飞舟 以利为利 概念
机会主义	比较多，那么交易内容很容易写入契约，即使交易对方处于机会主义<br>— 周黎安 · 《转型中的地方政府》 · p424	周黎安 转型中的地方政府 概念
可信承诺	信承诺”和“强制意义上的可信承诺”，前者指的是符合参与人激励<br>— 周黎安 · 《转型中的地方政府》 · p439	周黎安 转型中的地方政府 概念
过渡劳动	回到对概念的分析，“过渡劳动”想要展现的是一种“脱嵌式”的劳动和生活逻辑，即过渡作为一种劳动手段本身的出发点在平台市场逻辑的渗透下失去了它的功能性意义，反而变成了一种常态化存在<br>— 孙萍 · 《过渡劳动》	孙萍 过渡劳动 概念
乌托邦	对我们来说，我们现在不得不去做逻辑上不可能的事情，即去确定和指挥整个社会系统，去调整全部社会生活，这不过是用所谓“历史的力量”和“未来的发展”使乌托邦计划成为不可避免之类的话来恐吓我们罢了<br>— 波普尔 · 《历史决定论的贫困》	波普尔 历史决定论的贫困 概念
计划与市场	相结合。（六）在今后经济的调整和体制的改革中，实际上计划与市场这两种经济的比例的调整将占很大的比重。不一定计划经济部分愈增加，市场经济部分所占绝对数额就愈缩小，可能是都·相·应地增加。７４２计划与市场问题<br>— 陈云 · 《陈云文选·第三卷》 · p259	陈云 陈云文选第三卷 概念
摸着石头过河	加入工商联，然后按行业划分小组，这种小组并不等于大城市的同业公会。但在大、中城市中，一般不要采取打乱原有的同业公会而完全采取以企业为单位入会的做法。有些同业公会的经费和人员很多，工商联不能调动，这是不合理的。但是，不要一下子打乱同业公会，而宁可采用其他的办法来合理使用经费和人员。等到工商联的工作做得久些，做得好些，并提高了威信，经费和人员的合理使用，是可以逐步做到的。即使如此，办法也应该稳妥，这叫摸着石头过河。搞急了是要出毛病的。毛毛草草而发生错误和稳稳当当而慢一点相比较，我们宁可采取后者。尤其是处理全国经济问题，更须注意这点。慢两三个月天不会塌，怕什么。某些地方已经改为以工商户为单位参加工商联的，也不必再改过来，可以再看看。对现在还未加入工商联的私营工商户怎么办？应该承认组织进来比不组织进来有利。但工商联不宜于在章程上作统统加入的规定。工商联应依靠自己的工作来争取他们加入，政府可以通过适当的办法<br>— 陈云 · 《陈云文选·第二卷》 · p161	陈云 陈云文选第二卷 概念
国情	等等。相反地，用切断历史和生搬硬套的办法，把书本子上的抽象概念套到中国来，把生动的中国看成僵硬的中国，把复杂的社会看成简单的社会，把广大的革命工作园地缩小到寸步难移，把容易深入的社会变成格格不入。所有这些错误，使白区党非但不能广泛地开展革命工作，而且基本上脱离了群众，绝大部分遭受了失败。为了今后大后方党的保存和革命工作的发展，必须彻底无保留地打破主观主义、公式主义和生搬硬套书本上的概念，从具体的中国情况出发，抓住中国的特点。只有这样，革命工５３２改进大后方秘密党的工作<br>— 陈云 · 《陈云文选·第一卷》 · p245	陈云 陈云文选第一卷 概念
