:START_ID,:END_ID,:TYPE
a_101304,t_125,IN_TOPIC
a_101304,t_1213,IN_TOPIC
a_101304,t_32,IN_TOPIC
a_101304,t_1187,IN_TOPIC
a_101304,t_1172,IN_TOPIC
a_101319,t_8,IN_TOPIC
a_101319,t_1204,IN_TOPIC
a_101319,t_3,IN_TOPIC
a_101319,t_1137,IN_TOPIC
a_101319,t_36,IN_TOPIC
a_101405,t_1168,IN_TOPIC
a_101405,t_8,IN_TOPIC
a_101405,t_11,IN_TOPIC
a_101405,t_106,IN_TOPIC
a_101405,t_1,IN_TOPIC
a_101405,t_3,IN_TOPIC
a_101405,t_36,IN_TOPIC
a_101405,t_1180,IN_TOPIC
a_101405,t_70,IN_TOPIC
a_101407,t_8,IN_TOPIC
a_101407,t_11,IN_TOPIC
a_101407,t_1195,IN_TOPIC
a_101407,t_147,IN_TOPIC
a_101407,t_1204,IN_TOPIC
a_101407,t_1174,IN_TOPIC
a_101407,t_106,IN_TOPIC
a_101407,t_3,IN_TOPIC
a_101407,t_1,IN_TOPIC
a_101407,t_1175,IN_TOPIC
a_101407,t_32,IN_TOPIC
a_101407,t_1180,IN_TOPIC
a_101407,t_70,IN_TOPIC
a_101407,t_1196,IN_TOPIC
a_101407,t_1206,IN_TOPIC
a_101418,t_8,IN_TOPIC
a_101418,t_15,IN_TOPIC
a_101418,t_1168,IN_TOPIC
a_101418,t_147,IN_TOPIC
a_101418,t_1174,IN_TOPIC
a_101418,t_1208,IN_TOPIC
a_101418,t_3,IN_TOPIC
a_101418,t_31,IN_TOPIC
a_101418,t_1185,IN_TOPIC
a_101418,t_1213,IN_TOPIC
a_101418,t_32,IN_TOPIC
a_101418,t_1180,IN_TOPIC
a_101418,t_1186,IN_TOPIC
a_101418,t_1173,IN_TOPIC
a_101418,t_160,IN_TOPIC
a_101434,t_1168,IN_TOPIC
a_101434,t_8,IN_TOPIC
a_101434,t_147,IN_TOPIC
a_101434,t_1204,IN_TOPIC
a_101434,t_1137,IN_TOPIC
a_101434,t_48,IN_TOPIC
a_101434,t_1181,IN_TOPIC
a_101434,t_1182,IN_TOPIC
a_101434,t_1160,IN_TOPIC
a_101434,t_1205,IN_TOPIC
a_101434,t_1169,IN_TOPIC
a_101434,t_1170,IN_TOPIC
a_101434,t_1171,IN_TOPIC
a_101434,t_1173,IN_TOPIC
a_101434,t_160,IN_TOPIC
a_101439,t_8,IN_TOPIC
a_101439,t_11,IN_TOPIC
a_101439,t_147,IN_TOPIC
a_101439,t_1204,IN_TOPIC
a_101439,t_1174,IN_TOPIC
a_101439,t_106,IN_TOPIC
a_101439,t_17,IN_TOPIC
a_101439,t_68,IN_TOPIC
a_101439,t_20,IN_TOPIC
a_101439,t_1176,IN_TOPIC
a_101439,t_70,IN_TOPIC
a_101453,t_8,IN_TOPIC
a_101453,t_1168,IN_TOPIC
a_101453,t_147,IN_TOPIC
a_101453,t_1204,IN_TOPIC
a_101453,t_1174,IN_TOPIC
a_101453,t_3,IN_TOPIC
a_101453,t_134,IN_TOPIC
a_101453,t_36,IN_TOPIC
a_101453,t_32,IN_TOPIC
a_101453,t_1180,IN_TOPIC
a_101453,t_1160,IN_TOPIC
a_101453,t_1205,IN_TOPIC
a_101453,t_1131,IN_TOPIC
a_101453,t_1167,IN_TOPIC
a_101456,t_8,IN_TOPIC
a_101456,t_11,IN_TOPIC
a_101456,t_15,IN_TOPIC
a_101456,t_1168,IN_TOPIC
a_101456,t_147,IN_TOPIC
a_101456,t_1204,IN_TOPIC
a_101456,t_1174,IN_TOPIC
a_101456,t_1208,IN_TOPIC
a_101456,t_3,IN_TOPIC
a_101456,t_106,IN_TOPIC
a_101456,t_17,IN_TOPIC
a_101456,t_36,IN_TOPIC
a_101456,t_1213,IN_TOPIC
a_101456,t_32,IN_TOPIC
a_101456,t_1180,IN_TOPIC
a_101456,t_70,IN_TOPIC
a_101456,t_1193,IN_TOPIC
a_101456,t_1205,IN_TOPIC
a_101456,t_1167,IN_TOPIC
a_101471,t_1168,IN_TOPIC
a_101471,t_8,IN_TOPIC
a_101471,t_1208,IN_TOPIC
a_101471,t_3,IN_TOPIC
a_101471,t_1139,IN_TOPIC
a_101471,t_68,IN_TOPIC
a_101471,t_141,IN_TOPIC
a_101471,t_48,IN_TOPIC
a_101471,t_70,IN_TOPIC
a_101471,t_1169,IN_TOPIC
a_101471,t_1170,IN_TOPIC
a_101471,t_1172,IN_TOPIC
a_101477,t_1168,IN_TOPIC
a_101477,t_147,IN_TOPIC
a_101477,t_1204,IN_TOPIC
a_101477,t_43,IN_TOPIC
a_101477,t_3,IN_TOPIC
a_101477,t_1131,IN_TOPIC
a_101477,t_1205,IN_TOPIC
a_101477,t_1206,IN_TOPIC
a_101477,t_1169,IN_TOPIC
a_101499,t_1168,IN_TOPIC
a_101499,t_8,IN_TOPIC
a_101499,t_1195,IN_TOPIC
a_101499,t_1174,IN_TOPIC
a_101499,t_3,IN_TOPIC
a_101499,t_43,IN_TOPIC
a_101499,t_1198,IN_TOPIC
a_101499,t_48,IN_TOPIC
a_101499,t_32,IN_TOPIC
a_101499,t_1172,IN_TOPIC
a_101499,t_1173,IN_TOPIC
a_101500,t_1195,IN_TOPIC
